filename,width,height,class,xmin,ymin,xmax,ymax
nao_reciclavel_1085.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1504.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_433.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1054.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1701.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_975.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_839.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1481.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_745.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1884.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_932.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_11.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_593.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_115.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1807.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1270.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1129.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_735.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_730.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_259.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1273.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1158.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1156.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_637.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_3.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_274.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_937.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_866.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_746.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1078.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_239.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_527.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_969.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1404.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1639.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1408.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1384.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1414.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_537.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_630.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_79.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_1565.png,256,256,naoreciclavel,0,0,256,256
nao_reciclavel_667.png,256,256,naoreciclavel,0,0,256,256
